CD_GEOCODI,SHOPPING,TERMINAL,wifi
355030892000220,0,0,0
355030889000165,0,0,0
355030886000081,1,0,1
355030808000079,0,0,1
355030880000171,1,1,0
355030891000147,0,0,0
355030859000203,0,0,0
355030864000159,0,0,0
355030818000206,0,0,0
355030818000203,0,0,0
355030828000175,0,0,0
355030828000178,0,0,0
355030887000232,0,0,1
355030874000145,0,0,0
355030884000213,0,0,1
355030844000221,0,0,0
355030884000215,0,0,0
355030836000350,0,0,0
355030836000354,0,0,0
355030884000214,0,0,0
355030896000246,0,0,0
355030896000240,0,0,0
355030831000171,0,0,0
355030825000339,0,0,0
355030825000335,0,0,0
355030825000336,0,1,0
355030825000283,0,0,0
355030847000214,0,0,0
355030833000217,0,0,1
355030875000211,0,0,0
355030873000224,0,0,0
355030873000217,0,0,0
355030876000382,0,0,0
355030876000366,0,0,1
355030872000149,0,0,0
355030872000187,0,0,1
355030801000127,0,0,0
355030801000130,0,0,0
355030853000131,0,0,1
355030853000133,0,0,0
355030834000167,0,0,1
355030834000161,0,1,0
355030868000342,0,0,1
355030868000305,0,0,0
355030868000355,0,0,0
355030827000169,0,0,0
355030877000224,0,0,0
355030838000408,0,0,0
355030838000350,0,0,1
355030838000410,0,0,0
355030838000391,0,0,0
355030838000412,0,0,0
355030822000374,0,0,1
355030822000378,0,0,0
355030858000262,0,0,0
355030822000373,0,0,0
355030816000177,0,0,0
355030816000174,1,0,0
355030823000255,0,0,1
355030823000254,0,0,1
355030830000683,0,0,1
355030830000667,0,0,0
355030830000656,0,0,0
355030830000680,0,0,0
355030830000686,0,0,0
355030855000326,0,1,0
355030823000257,0,0,0
355030843000312,0,0,0
355030846000379,0,0,0
355030843000411,0,1,0
355030843000409,0,0,1
355030819000410,0,0,0
355030819000380,0,0,1
355030819000417,0,1,0
355030817000330,0,0,0
355030817000332,0,0,1
355030883000223,1,0,0
355030894000269,0,0,1
355030854000133,1,0,1
355030812000145,0,0,0
355030812000146,0,0,1
355030867000266,0,0,0
355030802000079,1,0,1
355030848000139,0,0,0
355030848000140,1,1,1
355030895000120,0,0,0
355030863000268,0,1,0
355030863000261,0,0,1
355030829000234,0,0,0
355030811000376,0,0,0
355030829000230,0,0,0
355030813000201,0,1,1
355030821000133,0,0,0
355030870000213,0,0,0
355030882000173,0,0,1
355030886000078,0,0,0
355030889000172,0,0,0
355030870000230,1,1,1
355030856000028,0,0,1
355030810000056,1,0,1
355030880000178,1,0,1
355030880000177,0,0,0
355030820000114,0,0,0
355030820000115,0,1,1
355030824000162,0,0,0
355030805000144,0,0,0
355030891000145,0,0,0
355030891000146,0,0,1
355030859000204,0,0,0
355030859000205,0,0,0
355030864000162,0,1,0
355030864000163,0,0,1
355030887000233,0,0,0
355030837000259,0,0,0
355030837000271,0,0,0
355030847000175,0,0,1
355030847000213,0,0,0
355030847000171,0,0,1
355030837000275,0,0,1
355030857000095,0,0,0
355030833000214,0,0,0
355030833000159,0,0,0
355030824000165,0,0,0
355030804000125,0,0,0
355030873000225,0,0,0
355030804000124,0,0,1
355030876000376,0,0,0
355030872000182,0,0,0
355030885000134,0,0,0
355030885000128,1,0,1
355030824000157,0,0,0
355030805000148,0,0,1
355030805000149,0,0,0
355030837000285,0,0,0
355030837000284,0,0,1
355030857000096,0,0,1
355030814000056,0,0,1
355030890000231,0,0,0
355030827000179,0,0,0
355030877000223,0,0,0
355030877000222,0,0,1
355030877000219,0,0,0
355030815000142,0,0,1
355030838000411,0,0,0
355030822000358,0,0,0
355030816000178,0,0,1
355030871000128,1,0,1
355030871000134,1,1,0
355030879000056,1,0,1
355030823000258,0,0,0
355030830000669,0,1,0
355030823000250,0,0,0
355030846000356,0,0,0
355030846000366,0,1,0
355030846000386,0,0,0
355030843000399,0,0,0
355030819000415,0,0,0
355030846000359,0,0,0
355030846000385,0,0,0
355030846000374,0,1,1
355030883000219,0,0,0
355030883000222,0,0,1
355030835000208,1,0,0
355030862000169,1,1,1
355030862000173,0,0,0
355030860000214,0,0,0
355030806000037,1,1,1
355030829000228,0,0,0
355030863000267,0,0,0
355030863000260,1,0,0
355030863000269,0,0,0
355030829000208,0,0,1
355030850000129,0,0,1
355030850000128,0,0,0
355030821000130,0,1,1
355030870000228,0,0,0
355030809000050,0,0,1
355030878000046,0,1,1
355030849000113,0,0,1
355030890000217,0,0,0
355030890000229,0,0,1
355030832000175,0,0,1
355030832000167,0,0,0
355030832000177,1,0,0
355030835000206,0,0,1
355030815000148,0,0,0
355030835000198,0,0,0
355030835000203,0,0,0
355030845000208,0,0,1
355030862000170,1,0,0
355030845000214,0,0,1
355030860000209,0,0,0
355030860000218,0,0,0
355030860000217,0,0,0
355030869000163,0,0,0
355030869000158,0,0,0
355030869000161,0,1,1
355030866000141,1,0,1
355030866000135,0,1,1
355030849000116,0,0,1
355030890000230,0,0,0
355030845000215,0,0,0
355030807000143,1,0,0
355030826000147,0,0,1
355030826000138,1,0,1
355030807000141,0,0,0
355030807000136,0,0,1
