Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
355030855000006;3;0;10570;10570;0;1;1;3;3;1;0;0;0;0;1;
355030855000007;3;0;39142;39142;0;0;3;15;8;5;0;0;0;0;21;
355030855000008;3;1;253971;253171;800;3;14;38;51;53;5;3;0;0;21;
355030855000009;3;0;92320;92320;0;0;2;7;16;16;6;0;1;0;8;
355030855000010;1;0;377331;377331;0;1;3;31;87;57;8;2;0;0;12;
355030855000011;1;0;432585;432585;0;1;10;24;90;72;20;3;1;1;10;
355030855000012;1;0;657237;657237;0;0;2;20;90;143;37;11;4;1;8;
355030855000013;1;0;434304;434304;0;1;5;30;92;80;11;5;2;0;5;
355030855000014;1;1;881020;879720;1300;0;11;76;174;163;37;11;2;0;63;
355030855000015;1;2;408721;408221;500;6;7;25;84;70;21;7;1;0;10;
355030855000016;1;0;71018;71018;0;0;4;16;11;14;2;0;0;0;4;
355030855000017;1;0;404423;404423;0;1;12;33;89;78;20;7;0;0;12;
355030855000018;1;0;356055;356055;0;1;11;39;80;68;9;8;0;0;4;
355030855000019;1;0;321051;321051;0;3;19;45;83;54;10;0;1;0;20;
355030855000020;1;0;480273;480273;0;0;10;46;126;86;19;3;2;0;11;
355030855000021;1;0;280041;280041;0;4;20;61;66;44;5;1;2;0;38;
355030855000022;1;0;244080;244080;0;0;5;20;50;47;8;4;0;0;5;
355030855000023;1;0;353635;353635;0;0;3;15;34;59;15;17;1;0;1;
355030855000024;1;0;115651;115651;0;0;3;26;29;15;4;2;1;0;3;
355030855000025;1;0;304072;304072;0;0;8;27;62;55;12;8;1;0;8;
355030855000026;1;0;222440;222440;0;0;6;34;48;38;8;4;0;0;12;
355030855000027;1;0;294402;294402;0;2;9;35;46;57;12;4;1;0;20;
355030855000028;1;0;141825;141825;0;0;5;15;48;26;3;0;0;0;8;
355030855000029;1;0;158398;158398;0;1;4;15;37;22;5;4;0;0;3;
355030855000030;1;0;231572;231572;0;0;4;22;57;42;8;3;1;0;7;
355030855000031;1;0;278427;278427;0;0;4;38;64;45;7;3;1;0;6;
355030855000032;1;0;431356;431356;0;2;27;55;88;77;13;9;1;1;8;
355030855000033;1;0;186792;186792;0;9;29;61;46;17;1;2;1;0;20;
355030855000034;1;0;360412;360412;0;0;1;33;81;71;12;4;2;0;4;
355030855000035;1;0;182249;182249;0;4;19;55;63;27;3;1;0;0;7;
355030855000036;1;0;472330;472330;0;1;9;39;90;106;26;5;2;0;20;
355030855000037;1;0;407142;407142;0;1;4;23;56;60;21;8;6;0;8;
355030855000038;1;0;298505;298505;0;4;12;57;96;55;4;1;0;0;137;
355030855000039;1;0;360042;360042;0;1;11;33;69;60;12;7;2;0;48;
355030855000040;1;0;202176;202176;0;4;16;38;44;30;9;0;0;0;53;
355030855000041;1;0;464514;464514;0;5;18;62;128;87;23;8;1;0;15;
355030855000042;1;0;192647;192647;0;7;17;29;45;32;5;1;0;0;64;
355030855000043;1;0;330370;330370;0;3;10;47;80;63;7;2;0;0;24;
355030855000044;1;0;675518;675518;0;0;12;44;119;120;23;10;3;1;8;
355030855000045;1;0;87060;87060;0;0;0;10;18;15;5;0;0;0;13;
355030855000046;1;0;528837;528837;0;3;21;52;120;112;18;4;2;0;55;
355030855000047;1;0;211353;211353;0;0;5;26;57;38;6;3;0;0;6;
355030855000048;1;2;682306;681796;510;1;12;66;176;133;20;5;0;0;14;
355030855000049;1;0;63692;63692;0;0;6;16;23;10;0;1;0;0;1;
355030855000050;1;0;201500;201500;0;1;9;38;52;31;5;3;0;0;4;
355030855000051;1;0;259328;259328;0;1;13;39;63;55;7;1;0;0;5;
355030855000052;1;0;429082;429082;0;1;25;76;126;57;10;4;1;0;25;
355030855000053;1;0;246751;246751;0;2;16;40;78;40;4;1;0;0;20;
355030855000054;3;0;415940;415940;0;2;15;77;124;70;10;2;2;0;19;
355030855000055;3;0;271917;271917;0;0;13;34;63;52;7;0;0;0;30;
355030855000056;1;0;904358;904358;0;6;38;122;220;151;21;9;4;1;15;
355030855000057;3;0;141230;141230;0;0;3;3;14;18;5;8;2;1;0;
355030855000059;1;0;383089;383089;0;0;9;53;70;64;8;5;3;0;16;
355030855000060;1;0;24641;24641;0;0;0;1;2;4;2;1;0;0;0;
355030855000061;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000062;1;0;543237;543237;0;0;9;27;102;96;16;16;3;1;30;
355030855000063;1;0;467870;467870;0;2;15;68;109;60;5;7;2;4;160;
355030855000064;1;1;354637;353537;1100;6;22;67;120;59;5;0;0;0;12;
355030855000065;1;0;113644;113644;0;0;10;20;43;23;0;0;0;0;14;
355030855000066;1;0;143898;143898;0;2;11;24;60;18;4;0;0;0;13;
355030855000067;1;1;453687;450687;3000;0;1;21;62;94;20;18;4;0;3;
355030855000068;1;0;183383;183383;0;2;5;25;60;28;9;2;1;0;21;
355030855000069;1;0;87475;87475;0;2;10;22;34;13;0;0;0;0;1;
355030855000070;1;0;261888;261888;0;3;15;45;65;44;5;3;0;0;31;
355030855000071;1;0;271528;271528;0;7;31;75;79;33;1;4;0;0;45;
355030855000072;1;0;15340;15340;0;0;0;7;3;2;1;0;0;0;1;
355030855000073;1;0;431971;431971;0;3;16;68;117;63;12;6;0;2;20;
355030855000074;1;0;195775;195775;0;4;24;45;69;27;4;0;2;0;13;
355030855000075;1;0;89195;89195;0;0;4;12;28;10;3;0;0;0;3;
355030855000076;1;0;345554;345554;0;0;15;58;107;45;6;2;1;0;30;
355030855000077;1;1;353765;345965;7800;0;10;28;48;52;9;9;5;3;4;
355030855000078;3;0;550427;550427;0;3;17;92;141;101;16;8;3;0;17;
355030855000079;3;0;605621;605621;0;13;35;85;155;110;20;7;1;0;38;
355030855000080;3;0;258109;258109;0;3;6;46;71;37;7;1;0;1;35;
355030855000081;3;1;373274;372674;600;2;18;68;109;67;9;1;0;0;71;
355030855000082;3;0;138672;138672;0;0;4;23;52;22;4;0;0;0;13;
355030855000083;3;0;341843;341843;0;2;12;53;107;64;7;1;0;0;10;
355030855000084;3;0;260384;260384;0;2;9;47;83;42;6;6;0;0;27;
355030855000085;3;0;329955;329955;0;1;24;65;105;47;2;4;1;0;35;
355030855000086;3;0;473019;473019;0;1;35;100;151;76;3;2;0;0;10;
355030855000087;3;0;302492;302492;0;3;26;76;96;34;4;1;0;0;21;
355030855000088;3;0;570853;570853;0;13;34;125;154;94;13;4;2;0;71;
355030855000089;3;0;199513;199513;0;4;9;31;66;29;6;1;0;0;18;
355030855000090;3;0;109796;109796;0;0;6;19;32;16;3;0;0;0;3;
355030855000091;3;0;41002;41002;0;0;7;11;17;3;1;0;0;0;1;
355030855000092;1;0;738029;738029;0;11;55;159;192;112;18;8;1;1;82;
355030855000093;3;0;14300;14300;0;1;0;0;0;2;2;0;1;0;1;
355030855000094;1;0;195677;195677;0;1;7;33;53;41;5;0;0;0;17;
355030855000095;1;0;526048;526048;0;3;11;69;129;90;26;7;0;0;10;
355030855000096;1;0;916276;916276;0;4;28;106;226;164;34;11;6;0;16;
355030855000097;1;0;582092;582092;0;3;19;57;128;82;14;10;10;2;17;
355030855000098;3;0;829467;829467;0;13;43;161;259;132;21;6;3;1;34;
355030855000099;3;1;394665;394665;0;2;17;67;111;70;9;1;0;0;23;
355030855000100;3;0;441298;441298;0;3;13;80;129;86;10;4;1;0;7;
355030855000101;1;0;82700;82700;0;1;1;4;12;11;4;1;0;0;0;
355030855000102;1;0;452628;452628;0;3;19;68;117;77;5;4;3;0;23;
355030855000103;1;0;370395;370395;0;2;6;55;90;45;12;3;2;1;12;
355030855000104;8;0;54150;54150;0;1;9;21;13;5;3;0;0;0;4;
355030855000105;3;0;171526;171526;0;9;29;57;50;26;5;2;0;0;19;
355030855000106;3;0;89990;89990;0;0;0;5;12;12;6;3;0;0;3;
355030855000107;8;0;26470;26470;0;35;10;11;4;0;0;0;0;0;54;
355030855000108;3;0;65847;65847;0;1;7;12;13;4;0;0;0;1;10;
355030855000109;8;0;15932;15932;0;10;8;6;1;1;0;0;0;0;15;
355030855000110;3;0;125704;125704;0;0;9;22;29;18;3;3;1;0;14;
355030855000111;3;0;114040;114040;0;0;18;31;38;26;0;0;0;0;4;
355030855000113;3;0;286052;286052;0;13;36;77;124;44;2;1;1;0;22;
355030855000114;3;0;181566;181566;0;0;10;22;41;40;4;3;0;0;7;
355030855000115;3;0;126128;126128;0;5;9;34;46;15;0;0;0;0;30;
355030855000116;3;0;558729;558729;0;5;43;141;175;80;7;0;1;0;69;
355030855000118;3;0;39160;39160;0;0;4;10;9;4;1;0;0;0;14;
355030855000119;3;0;261017;261017;0;5;18;65;70;40;7;2;1;0;68;
355030855000120;3;0;24751;24751;0;0;0;10;13;1;0;0;0;0;4;
355030855000121;3;0;303839;303839;0;4;9;50;82;56;5;3;0;0;9;
355030855000122;3;0;40330;40330;0;1;3;5;14;3;2;0;0;0;3;
355030855000123;3;0;208930;208930;0;0;0;1;2;13;8;5;10;0;4;
355030855000124;1;0;21770;21770;0;1;0;2;7;1;0;1;0;0;2;
355030855000125;1;0;297832;297832;0;1;10;59;84;47;8;5;0;0;61;
355030855000126;1;0;305439;305439;0;6;46;86;94;47;4;3;0;0;28;
355030855000127;1;0;96960;96960;0;3;16;27;22;8;1;2;1;0;37;
355030855000128;1;0;89170;89170;0;1;12;21;32;15;1;0;0;0;9;
355030855000129;1;0;803758;803758;0;2;6;40;119;114;42;18;7;1;3;
355030855000130;1;0;302102;302102;0;0;6;33;48;61;9;2;4;0;17;
355030855000131;1;0;308941;308941;0;0;11;47;107;56;5;1;0;0;18;
355030855000132;1;0;240211;240211;0;9;15;56;70;33;3;1;0;2;17;
355030855000133;1;0;167388;167388;0;1;7;25;46;23;4;1;0;0;3;
355030855000134;1;0;260363;260363;0;1;9;37;49;47;9;3;3;0;9;
355030855000135;1;0;352271;352271;0;2;4;54;97;67;10;3;0;0;3;
355030855000136;1;0;110511;110511;0;2;7;33;28;20;1;1;0;0;13;
355030855000138;1;0;339654;339654;0;5;36;128;131;27;2;0;0;0;22;
355030855000139;2;0;326036;326036;0;0;0;30;73;62;17;2;1;0;5;
355030855000140;3;0;952556;952556;0;0;4;13;29;77;37;46;31;5;0;
355030855000141;3;0;396301;396301;0;0;1;4;65;109;13;3;4;0;11;
355030855000142;1;0;195995;195995;0;0;0;2;10;26;12;6;4;1;0;
355030855000143;8;0;261916;261916;0;1;5;17;24;24;12;5;2;1;16;
355030855000144;1;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000145;8;0;56091;56091;0;0;1;5;14;9;6;1;0;0;5;
355030855000146;8;0;120790;120790;0;0;6;13;15;24;4;1;1;1;2;
355030855000148;8;0;80789;80789;0;0;0;5;8;13;3;2;1;0;0;
355030855000149;8;0;18230;18230;0;0;1;9;7;1;0;0;0;0;1;
355030855000150;8;2;53445;52285;1160;0;3;6;9;12;1;1;0;0;1;
355030855000151;1;0;240835;240835;0;2;6;31;64;48;7;2;1;0;9;
355030855000152;8;0;156121;156121;0;1;1;28;42;25;1;1;0;0;5;
355030855000153;8;0;83014;83014;0;2;9;21;30;8;1;0;0;0;5;
355030855000155;8;0;14110;14110;0;2;0;1;2;2;1;0;0;0;1;
355030855000156;8;0;25218;25218;0;1;2;7;11;4;0;0;0;0;5;
355030855000157;8;0;157251;157251;0;2;7;12;32;28;6;3;0;0;3;
355030855000158;8;0;34781;34781;0;0;3;7;7;7;2;0;0;0;27;
355030855000160;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000162;1;0;13540;13540;0;0;0;5;5;1;0;0;0;0;2;
355030855000163;1;0;188894;188894;0;0;2;14;50;40;7;0;0;0;8;
355030855000165;1;0;156910;156910;0;0;1;5;9;27;9;7;2;0;0;
355030855000166;8;0;98730;98730;0;0;0;5;25;14;6;1;0;0;0;
355030855000170;8;0;80139;80139;0;0;2;2;12;10;6;2;1;0;1;
355030855000171;8;0;20370;20370;0;1;1;9;4;2;0;0;0;0;6;
355030855000180;8;0;44050;44050;0;1;2;8;6;5;1;0;1;0;0;
355030855000182;8;0;82389;82389;0;1;2;9;15;20;2;2;1;0;3;
355030855000183;8;0;13230;13230;0;0;3;6;1;2;1;0;1;0;2;
355030855000185;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000186;1;0;144480;144480;0;0;3;23;39;23;3;1;1;0;5;
355030855000187;8;0;37100;37100;0;0;0;7;11;5;1;1;0;0;0;
355030855000188;3;0;140289;140289;0;1;7;30;42;23;2;0;0;0;13;
355030855000193;1;0;52708;52708;0;0;0;2;5;13;1;2;0;0;2;
355030855000196;1;0;34321;34321;0;0;0;8;6;9;0;0;1;0;0;
355030855000200;8;0;56214;56214;0;0;1;1;5;2;2;2;3;0;0;
355030855000201;8;0;23530;23530;0;0;1;3;8;3;0;0;0;0;1;
355030855000204;8;0;29022;29022;0;1;2;4;4;7;0;0;0;1;2;
355030855000205;8;0;19620;19620;0;0;0;2;5;4;1;0;0;0;1;
355030855000206;8;0;64030;64030;0;0;4;7;17;6;4;1;0;0;1;
355030855000208;8;0;80464;80464;0;3;5;16;20;6;0;0;3;0;2;
355030855000212;8;0;47841;47841;0;0;5;8;14;5;1;0;0;0;2;
355030855000213;8;0;20250;20250;0;0;0;2;5;4;0;0;1;0;2;
355030855000214;8;0;446073;446073;0;6;32;87;109;59;6;5;1;0;48;
355030855000215;8;0;69900;69900;0;1;3;12;10;11;2;1;1;0;3;
355030855000216;8;0;69277;69277;0;0;5;10;16;11;2;0;0;0;3;
355030855000217;8;0;216028;216028;0;0;6;9;14;3;1;0;1;1;7;
355030855000218;8;0;35574;35574;0;0;0;2;3;6;1;1;0;0;1;
355030855000219;1;0;77370;77370;0;0;0;1;3;17;6;1;0;0;1;
355030855000220;1;0;218100;218100;0;1;2;23;39;46;9;0;0;0;2;
355030855000221;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000222;8;0;7180;7180;0;0;0;0;3;2;0;0;0;0;0;
355030855000223;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000224;8;0;5610;5610;0;0;0;2;0;2;0;0;0;0;1;
355030855000225;8;0;23370;23370;0;0;2;8;7;2;0;0;0;0;8;
355030855000226;8;0;38100;38100;0;2;1;9;12;7;2;0;0;0;5;
355030855000227;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000228;8;0;83850;83850;0;0;1;4;6;12;1;5;2;0;1;
355030855000229;8;0;43575;43575;0;0;0;9;15;10;1;0;0;0;5;
355030855000230;3;0;239338;239338;0;2;6;22;53;49;11;2;1;0;5;
355030855000231;3;0;116905;116905;0;0;3;13;24;17;5;2;0;1;10;
355030855000232;8;0;18130;18130;0;0;0;2;2;0;1;0;0;1;5;
355030855000233;8;0;7430;7430;0;0;3;2;4;1;0;0;0;0;2;
355030855000234;8;0;11183;11183;0;0;1;4;3;2;0;0;0;0;2;
355030855000235;8;0;24731;24731;0;1;1;4;6;5;0;0;0;0;0;
355030855000236;8;0;40232;40232;0;0;1;17;7;9;0;2;0;0;3;
355030855000237;1;0;88689;88689;0;0;10;22;20;16;4;1;0;0;23;
355030855000239;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000240;3;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000241;8;0;11601;11601;0;0;0;5;8;0;0;0;0;0;2;
355030855000245;8;0;5780;5780;0;0;2;1;3;2;0;0;0;0;1;
355030855000246;8;0;7280;7280;0;0;1;1;2;1;0;0;0;0;0;
355030855000247;8;0;88633;88633;0;0;7;9;17;13;0;0;2;0;0;
355030855000248;8;0;341480;341480;0;1;10;23;68;60;23;10;2;0;4;
355030855000249;8;2;127760;126500;1260;0;2;16;32;25;10;1;0;0;1;
355030855000250;1;0;29630;29630;0;1;0;9;10;4;1;1;0;0;3;
355030855000251;1;0;46830;46830;0;0;2;5;11;7;0;2;0;1;1;
355030855000253;8;0;74860;74860;0;3;7;17;35;14;0;0;0;0;2;
355030855000255;1;0;247797;247797;0;0;12;42;62;58;8;1;0;0;2;
355030855000256;8;0;9390;9390;0;0;0;1;3;2;0;0;0;0;1;
355030855000257;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000258;8;0;11950;11950;0;0;0;2;4;3;0;0;0;0;0;
355030855000264;1;0;154010;154010;0;0;5;17;21;21;3;2;0;1;24;
355030855000266;8;0;110358;110358;0;0;6;15;25;15;2;4;0;0;1;
355030855000268;1;0;26136;26136;0;1;3;11;8;3;0;0;0;0;0;
355030855000270;8;0;222355;222355;0;1;8;15;36;34;7;4;2;1;5;
355030855000271;8;0;172360;172360;0;0;0;13;19;18;6;5;2;0;1;
355030855000272;4;0;171191;171191;0;0;14;41;63;18;5;0;0;0;30;
355030855000273;3;0;200451;200451;0;3;6;36;57;23;6;1;1;0;4;
355030855000274;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000275;8;0;235530;235530;0;14;29;62;86;43;3;0;0;0;14;
355030855000276;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000277;8;0;8400;8400;0;0;0;0;1;4;0;0;0;0;0;
355030855000278;8;0;5310;5310;0;0;0;1;3;1;0;0;0;0;0;
355030855000279;8;0;106015;106015;0;0;0;1;4;7;4;4;4;1;1;
355030855000283;8;0;74395;74395;0;0;1;7;19;4;1;0;0;1;0;
355030855000285;8;0;10920;10920;0;0;0;1;2;1;1;0;0;0;0;
355030855000287;3;0;191031;191031;0;4;6;29;34;35;9;3;0;0;4;
355030855000289;8;0;102994;102994;0;8;12;41;29;12;1;0;0;0;9;
355030855000291;3;0;69582;69582;0;0;5;11;20;12;1;0;0;0;1;
355030855000293;3;0;93965;93965;0;4;1;11;26;19;1;1;0;0;4;
355030855000294;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000295;3;0;142409;142409;0;4;10;37;38;36;2;1;0;0;16;
355030855000297;8;0;45215;45215;0;0;0;4;14;12;3;0;0;0;1;
355030855000298;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000300;8;0;27660;27660;0;0;0;4;7;8;0;0;0;0;0;
355030855000301;8;0;15182;15182;0;0;0;4;4;3;0;0;0;0;1;
355030855000302;8;0;213074;213074;0;0;7;50;52;35;3;1;0;0;3;
355030855000304;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000307;8;0;56173;56173;0;0;6;7;16;10;1;0;0;0;1;
355030855000311;8;"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";
355030855000312;4;0;152101;152101;0;0;8;34;33;17;1;3;0;0;17;
355030855000316;8;0;18252;18252;0;1;4;10;6;1;0;1;0;0;3;
355030855000319;1;0;730716;730716;0;1;19;66;161;151;25;4;0;0;44;
355030855000320;1;0;77520;77520;0;1;3;15;28;9;2;0;0;0;5;
355030855000321;1;1;71902;71902;0;2;11;21;17;9;0;0;1;0;40;
355030855000322;1;0;92006;92006;0;1;11;25;28;14;0;0;0;0;9;
355030855000323;1;0;130360;130360;0;1;5;7;31;15;3;1;0;1;2;
355030855000324;1;0;154904;154904;0;4;14;40;44;35;2;2;0;0;3;
355030855000325;1;0;310210;310210;0;0;13;62;70;56;9;3;4;1;32;
355030855000326;1;0;66311;66311;0;4;11;19;17;3;1;0;1;0;2;
355030855000327;1;0;53420;53420;0;0;0;2;15;11;2;0;0;0;3;
355030855000328;1;0;150978;150978;0;1;7;30;45;21;7;0;0;0;9;
355030855000329;1;0;217413;217413;0;2;10;38;72;32;4;1;1;0;30;
355030855000330;1;1;178521;178521;0;0;10;40;53;22;3;2;1;1;8;
355030855000331;1;0;85359;85359;0;3;10;15;42;12;0;0;0;0;12;
