Cod_setor;Situacao_setor;V001;V002;V003
355030805000058;1;130;0;0
355030805000059;1;36;0;0
355030805000060;1;98;0;0
355030805000061;1;123;0;1
355030805000062;1;78;0;0
355030805000063;1;124;0;0
355030805000064;1;81;0;0
355030805000065;1;76;0;0
355030805000066;1;56;0;2
355030805000067;1;47;0;0
355030805000068;1;74;0;0
355030805000069;1;137;1;0
355030805000070;1;99;0;0
355030805000071;1;16;0;0
355030805000072;1;77;0;0
355030805000073;1;107;1;0
355030805000074;1;84;0;0
355030805000075;1;138;0;0
355030805000076;1;116;0;0
355030805000077;1;83;0;0
355030805000078;1;82;0;0
355030805000079;1;67;0;1
355030805000080;1;41;0;0
355030805000081;1;77;0;0
355030805000082;1;78;0;0
355030805000083;1;87;0;0
355030805000084;1;82;0;0
355030805000085;1;92;0;0
355030805000086;1;74;0;0
355030805000087;1;48;0;0
355030805000088;1;79;0;0
355030805000089;1;90;0;0
355030805000090;1;96;0;0
355030805000091;1;143;0;0
355030805000092;1;128;0;0
355030805000093;1;66;0;0
355030805000094;1;84;0;0
355030805000095;1;121;0;0
355030805000096;1;113;0;0
355030805000097;1;70;0;0
355030805000098;1;373;1;0
355030805000099;1;157;0;1
355030805000100;1;211;0;0
355030805000101;1;137;0;0
355030805000102;1;189;0;0
355030805000103;1;185;0;0
355030805000104;1;223;0;0
355030805000105;1;198;0;0
355030805000106;1;166;1;0
355030805000107;1;106;0;0
355030805000108;1;77;0;0
355030805000109;1;126;0;0
355030805000110;1;74;0;0
355030805000111;1;126;0;0
355030805000112;1;197;0;0
355030805000113;1;61;0;0
355030805000114;1;54;0;0
355030805000115;1;79;0;0
355030805000116;1;78;0;0
355030805000117;1;71;0;0
355030805000118;1;91;0;0
355030805000119;1;104;0;0
355030805000120;1;85;0;0
355030805000121;1;133;0;0
355030805000122;1;65;0;0
355030805000123;1;104;0;0
355030805000124;1;31;0;0
355030805000125;1;147;0;0
355030805000126;1;90;0;0
355030805000127;1;153;1;0
355030805000128;1;88;0;0
355030805000129;1;91;0;0
355030805000130;1;186;0;0
355030805000131;1;124;0;0
355030805000132;1;119;0;0
355030805000133;1;158;0;0
355030805000134;1;95;0;0
355030805000135;1;54;0;0
355030805000136;1;87;0;0
355030805000137;1;104;0;0
355030805000138;1;102;0;0
355030805000139;1;100;0;0
355030805000140;1;86;0;0
355030805000141;1;121;0;0
355030805000142;1;83;0;0
355030805000143;1;92;0;0
355030805000144;1;62;0;0
355030805000145;1;116;0;0
355030805000146;1;57;0;0
355030805000147;1;38;0;0
355030805000148;1;35;0;0
355030805000149;1;66;0;0
355030806000001;1;14;X;X
355030806000002;1;39;0;0
355030806000003;1;25;0;0
355030806000004;1;23;0;0
355030806000005;1;90;1;0
355030806000006;1;37;0;0
355030806000007;1;83;0;0
355030806000008;1;257;0;0
355030806000009;1;29;0;0
355030806000010;1;45;0;0
355030806000011;1;14;0;0
355030806000012;1;46;0;0
355030806000013;1;29;0;1
355030806000014;1;29;0;0
355030806000015;1;105;0;0
355030806000016;1;24;0;0
355030806000017;1;17;0;0
355030806000018;1;24;0;0
355030806000019;1;41;1;0
355030806000020;1;34;0;0
355030806000021;1;50;0;0
355030806000022;1;43;0;0
355030806000023;1;20;0;0
355030806000024;1;70;0;0
355030806000025;1;73;0;0
355030806000026;1;20;0;0
355030806000027;1;42;0;0
355030806000028;1;173;0;0
355030806000029;1;15;0;0
355030806000030;1;16;0;0
355030806000035;1;0;X;X
355030806000037;1;12;0;0
355030807000001;1;48;0;0
355030807000002;1;49;0;0
355030807000003;1;32;0;0
355030807000004;1;33;0;0
355030807000005;1;25;0;2
355030807000006;1;20;0;0
355030807000007;1;19;0;0
355030807000008;1;50;0;0
355030807000009;1;61;0;0
355030807000010;1;36;1;0
355030807000011;1;24;0;0
355030807000012;1;30;0;0
355030807000013;1;51;0;1
355030807000014;1;33;0;0
355030807000015;1;68;0;0
355030807000016;1;37;0;0
355030807000017;1;73;0;1
355030807000018;1;51;0;0
355030807000019;1;33;0;0
355030807000020;1;43;0;0
355030807000021;1;26;0;0
355030807000022;1;22;0;0
355030807000023;1;7;0;0
355030807000024;1;23;0;0
355030807000025;1;18;0;0
355030807000026;1;40;0;0
355030807000027;1;39;0;0
355030807000028;1;15;0;0
355030807000029;1;5;0;0
355030807000030;1;25;0;0
355030807000031;1;9;0;0
