Cod_setor,Situacao_setor,V022,5a15salarios,15oumais
355030805000108,1,149149,17400,0
355030805000109,1,356440,63500,0
355030805000110,1,278959,80480,10000
355030805000111,1,417686,85123,0
355030805000112,1,129215,0,0
355030805000113,1,277810,90550,18000
355030805000114,1,225903,52000,8000
355030805000115,1,308736,101700,10000
355030805000116,1,302953,85400,9000
355030805000117,1,334021,85884,15000
355030805000118,1,284112,62100,8000
355030805000119,1,343373,48700,18500
355030805000120,1,374490,84960,16000
355030805000121,1,376066,74000,0
355030805000122,1,234277,45800,0
355030805000123,1,292575,72700,20000
355030805000124,1,181283,60000,30000
355030805000125,1,311305,48300,8000
355030805000126,1,268268,50100,0
355030805000127,1,403816,65200,0
355030805000128,1,245939,43810,29500
355030805000129,1,154871,35400,8000
355030805000130,1,346739,78530,16500
355030805000131,1,240167,26500,0
355030805000132,1,546368,198403,40000
355030805000133,1,526027,159500,30000
355030805000134,1,391157,107000,26000
355030805000135,1,220697,41757,0
355030805000136,1,358139,82610,0
355030805000137,1,366184,81540,22000
355030805000138,1,379114,107200,64000
355030805000139,1,398231,118770,0
355030805000140,1,236395,57730,0
355030805000141,1,281390,46800,10200
355030805000142,1,251391,62000,18000
355030805000143,1,259610,47000,28000
355030805000144,1,213900,90580,8500
355030805000145,1,346513,106500,30000
355030805000146,1,210364,63550,18000
355030805000147,1,110372,13700,0
355030805000148,1,131796,32400,0
355030805000149,1,155262,22400,0
355030806000001,1,,0,0
355030806000002,1,710173,365651,168000
355030806000003,1,433612,210180,121900
355030806000004,1,596937,283783,241850
355030806000005,1,1339239,483353,753301
355030806000006,1,330163,206900,28510
355030806000007,1,69637,0,0
355030806000008,1,189430,22500,0
355030806000009,1,396374,211167,47000
355030806000010,1,536713,292750,87300
355030806000011,1,415927,235400,81100
355030806000012,1,740252,369520,274500
355030806000013,1,839778,480653,138000
355030806000014,1,605511,282380,193700
355030806000015,1,2844421,661450,2004100
355030806000016,1,481252,189870,192700
355030806000017,1,223437,117550,49000
355030806000018,1,594170,282570,193900
355030806000019,1,719685,247297,306650
355030806000020,1,571564,263028,108800
355030806000021,1,1281523,399804,737580
355030806000022,1,991253,359500,522000
355030806000023,1,540632,298696,127000
355030806000024,1,2123564,566807,1456900
355030806000025,1,1099739,117300,932000
